RecordNum,Ambience,Cleanliness,Service ,Food
1,4,5,6,4
2,6,6,,6
3,5,6,6,7
4,4,7,5,4
5,4,7,7,4
6,3,5,6,7
7,3,5,6,6
8,4,5,7,7
9,5,5,6,3
10,3,7,7,7
11,4,4,5,3
12,4,5,6,7
13,6,,7,5
14,5,7,7,7
15,3,5,5,5
16,6,4,5,6
17,4,5,5,5
18,3,6,7,6
19,4,7,5,3
20,5,7,6,3
21,6,6,5,4
22,5,7,6,7
23,4,5,7,4
24,6,4,5,6
25,6,7,6,7
26,6,7,5,
27,5,7,5,7
28,6,5,5,6
29,3,5,6,3
30,6,4,7,3
31,4,6,6,4
32,4,5,5,6
33,3,5,6,5
34,5,7,7,6
35,4,6,6,4
36,3,5,5,6
37,3,4,5,3
38,4,7,6,7
39,4,4,7,7
40,3,5,7,7
41,6,4,5,3
42,4,5,6,5
43,4,5,7,7
44,3,6,7,3
45,5,6,7,3
46,6,6,7,5
47,6,7,7,5
48,3,6,5,3
49,5,6,6,4
50,6,4,5,3
51,5,5,7,4
52,4,6,5,7
53,4,6,6,6
54,5,7,6,4
55,5,6,5,6
56,5,6,7,6
57,6,5,6,4
58,4,4,6,4
59,6,4,6,5
60,4,7,6,6
61,5,5,7,4
62,4,5,6,7
63,4,4,7,4
64,3,5,5,6
65,5,7,6,5
66,3,6,5,3
67,3,7,5,7
68,5,4,6,3
69,3,6,7,4
70,6,6,7,6
71,6,5,6,3
72,5,4,6,5
73,4,6,6,7
74,4,6,7,3
75,3,6,7,6
76,6,6,6,5
77,6,4,7,5
78,5,5,5,7
79,4,5,7,3
80,3,7,7,7
81,6,5,6,6
82,3,6,7,5
83,4,5,6,6
84,4,4,7,5
85,3,6,5,5
86,3,6,5,5
87,4,6,7,5
88,3,5,7,5
89,4,5,5,5
90,6,5,5,7
91,3,4,5,5
92,3,4,6,7
93,6,7,6,7
94,3,7,6,7
95,4,5,5,3
96,5,4,5,7
97,5,4,5,3
98,4,5,7,7
99,4,5,5,3
100,6,6,,3
101,6,7,6,6
102,4,7,7,6
103,6,5,5,3
104,5,4,6,4
105,5,7,5,5
106,3,4,6,7
107,4,6,7,3
108,3,6,6,6
109,4,5,5,4
110,6,6,5,6
111,3,6,6,4
112,3,4,5,5
113,6,5,7,7
114,6,5,5,5
115,6,4,6,5
116,5,4,7,6
117,3,5,5,7
118,5,7,5,6
119,5,4,7,3
120,5,4,7,5
121,6,5,6,4
122,3,4,5,7
123,5,7,6,6
124,6,4,5,5
125,4,5,5,3
126,3,6,7,5
127,3,4,7,5
128,4,5,5,4
129,3,4,7,3
130,4,7,5,3
131,4,7,6,5
132,3,5,6,3
133,5,7,5,7
134,,5,,6
135,6,6,5,7
136,6,7,7,4
137,3,4,7,6
138,5,7,5,6
139,3,7,7,4
140,3,4,7,5
141,4,6,5,6
142,6,6,6,5
143,5,6,5,4
144,5,6,6,6
145,5,4,7,4
146,5,6,6,3
147,4,6,5,6
148,5,6,7,5
149,5,5,5,4
150,3,5,6,7