Observation,x1,x2,x3,x4
1,0.670997099,183,1,1
2,0.198203899,78,23,3
3,0.889328339,93,28,1
4,0.749451307,69,3,2
5,0.177341878,89,30,3
6,0.01214725,24,27,3
7,0.472021756,88,3,2
8,0.324358768,130,9,2
9,0.665489991,91,9,3
10,0.841065779,12,29,1
11,0.586955257,165,2,2
12,0.635197224,38,16,1
13,0.661177772,13,34,1
14,0.911020866,153,9,1
15,0.73838611,54,11,1
16,0.299453335,46,36,2
17,0.015639544,21,25,2
18,0.716167068,78,27,2
19,0.861827879,19,33,1
20,0.603775133,200,2,2
21,0.534591876,6,35,2
22,0.655590822,188,13,2
23,0.745303438,121,37,3
24,0.414294903,175,8,2
25,0.403005628,45,1,1
26,0.290328265,17,5,3
27,0.257465401,117,7,2
28,0.409903317,119,18,2
29,0.526039991,153,37,2
30,0.086082487,104,9,2
31,0.603167536,197,1,3
32,0.401118639,120,10,2
33,0.366433507,53,24,1
34,0.577281068,140,28,2
35,0.626003269,91,31,3
36,0.861281191,172,11,3
37,0.417690057,49,3,1
38,0.83214047,80,3,2
39,0.134597645,93,12,3
40,0.409093609,125,16,1
41,0.376511298,181,25,3
42,0.38962316,48,16,1
43,0.368732864,198,33,3
44,0.481505033,196,2,2
45,0.997994029,196,13,3
46,0.250951987,51,19,2
47,0.581108826,97,33,3
48,0.146667625,94,23,1
49,0.51401724,70,31,3
50,0.435960663,81,30,2
51,0.821135954,9,29,2
52,0.389113549,61,10,1
53,0.626565042,81,38,2
54,0.822334391,11,12,2
55,0.657946158,39,36,3
56,0.112324994,117,2,1
57,0.574682235,189,37,1
58,0.669918785,160,3,2
59,0.32013468,186,13,3
60,0.788388987,16,21,1
61,0.589061348,179,30,2
62,0.502735322,89,18,2
63,0.785450616,2,24,1
64,0.036723483,156,35,2
65,0.790701919,177,12,2
66,0.79590093,164,20,1
67,0.441254284,191,20,3
68,0.223153116,188,37,1
69,0.856265392,38,14,3
70,0.425218683,31,12,3
71,0.304871503,159,38,2
72,0.706185231,131,29,3
73,0.913846768,143,1,3
74,0.108156166,11,35,1
75,0.546046103,17,27,3
76,0.641990774,116,13,3
77,0.788150372,16,10,1
78,0.292203476,146,1,3
79,0.586795439,129,22,1
80,0.32337339,22,25,2
81,0.941048522,159,31,1
82,0.426493545,89,35,2
83,0.747479918,173,1,2
84,0.234670587,140,6,3
85,0.024692799,197,25,1
86,0.487174918,142,28,2
87,0.973726771,136,12,3
88,0.430532569,84,39,3
89,0.435097942,24,22,1
90,0.689178784,72,28,2
91,0.496243879,107,23,1
92,0.726522479,22,8,2
93,0.241684731,169,3,1
94,0.179239149,181,15,1
95,0.26946412,79,30,2
96,0.701412152,5,20,1
97,0.702370696,153,4,2
98,0.258309072,29,8,2
99,0.218014244,71,5,1
100,0.425147377,108,37,2
101,0.870911835,155,21,2
102,0.795872214,79,10,2
103,0.019077559,17,15,1
104,0.621473617,162,39,1
105,0.85186041,151,5,3
106,0.244578455,113,14,2
107,0.065997025,134,33,2
108,0.107962265,189,17,3
109,0.558148582,79,34,1
110,0.662779471,154,20,3
111,0.350970607,178,14,3
112,0.719686066,50,13,1
113,0.74038991,10,7,2
114,0.226235439,39,15,1
115,0.233909525,63,11,3
116,0.173194541,33,7,1
117,0.3775797,160,13,1
118,0.121562441,162,27,1